0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:13:06 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:13:06 +0900] "GET /MVCLastProject/shadow/css/shadowbox.css HTTP/1.1" 200 4345
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:13:06 +0900] "GET /MVCLastProject/shadow/js/shadowbox.js HTTP/1.1" 200 77791
127.0.0.1 - - [07/Apr/2020:10:29:12 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:13 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23649
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:16 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 12044
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:16 +0900] "GET /MVCLastProject/shadow/css/shadowbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:16 +0900] "GET /MVCLastProject/shadow/js/shadowbox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:23 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 12044
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:28 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23730
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:28 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:30 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 12044
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:40 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23769
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:29:44 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 12043
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:30:09 +0900] "GET /MVCLastProject/main/main.do HTTP/1.1" 200 23676
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:30:11 +0900] "GET /MVCLastProject/member/join.do HTTP/1.1" 200 12042
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:30:11 +0900] "GET /MVCLastProject/shadow/js/languages/shadowbox-en.js HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [07/Apr/2020:10:30:11 +0900] "GET /MVCLastProject/shadow/js/libraries/sizzle/sizzle.js HTTP/1.1" 200 24695
